rank,domain,health_score
1,nih.gov,0.944
2,cdc.gov,0.994
3,webmd.com,1.000
4,healthline.com,1.000
5,sciencedaily.com,0.950
6,illuminateed.com,0.870
7,clevelandclinic.org,0.984
8,www.nhs.uk,0.989
9,medicalnewstoday.com,1.000
10,medlineplus.gov,0.999
11,walgreens.com,0.898
12,cancer.gov,0.987
13,clinicaltrials.gov,0.860
14,cms.gov,0.866
15,owhealth.com,0.986
16,womenshealthmag.com,0.896
17,aetna.com,0.944
18,news-medical.net,1.000
19,medrxiv.org,1.000
20,pointclickcare.com,0.858
21,betterhelp.com,0.988
22,mumsnet.com,0.857
23,whoop.com,0.916
24,alz.org,0.975
25,webpt.com,0.968
26,stylevana.com,0.989
27,invisalign.com,1.000
28,statnews.com,0.872
29,headspace.com,0.997
30,apollopharmacy.in,1.000
31,ifit.com,0.921
32,ketogo.app,0.997
33,lifehack.org,0.919
34,nice.org.uk,0.966
35,bountystory.site,0.998
36,livestrong.com,0.943
37,sleepnumber.com,0.852
38,eyemedvisioncare.com,0.860
39,988lifeline.org,0.982
40,health.gov,0.978
41,ada.org,0.939
42,aad.org,0.901
43,healthychildren.org,1.000
44,mindbodygreen.com,0.975
45,lung.org,0.997
46,admissions.nic.in,0.857
47,hcn.health,1.000
48,plannedparenthood.org,0.977
49,prevention.com,0.998
50,cochrane.org,0.989
51,england.nhs.uk,0.973
52,questdiagnostics.com,0.993
53,acog.org,0.992
54,aligntech.com,0.931
55,astrazeneca.com,0.913
56,ohsu.edu,0.996
57,labcorp.com,0.993
58,simplypsychology.org,0.977
59,mercola.com,0.978
60,upmc.com,0.999
61,explodingtopics.com,0.862
62,myiq.com,0.926
63,mskcc.org,0.950
64,healthdirect.gov.au,1.000
65,cvshealth.com,0.978
66,medpagetoday.com,1.000
67,dovepress.com,1.000
68,chop.edu,0.959
69,positivepsychology.com,0.927
70,whattoexpect.com,0.992
71,drugabuse.gov,0.965
72,doximity.com,0.933
73,fragrancenet.com,0.874
74,healio.com,1.000
75,colgate.com,0.999
76,suicidepreventionlifeline.org,0.982
77,withings.com,0.956
78,cureus.com,0.998
79,providence.org,0.994
80,mdanderson.org,0.999
81,asha.org,0.855
82,pharmeasy.in,0.999
83,gamblersanonymous.org,0.856
84,loseit.com,0.959
85,discoverpilgrim.com,0.978
86,lumosity.com,0.905
87,amboss.com,0.888
88,mayoclinic.com,0.989
89,epic.com,0.977
90,patient.info,1.000
91,clicks.co.za,0.978
92,researchsquare.com,0.935
93,womenshealth.gov,1.000
94,massgeneral.org,0.999
95,thriveglobal.com,0.983
96,acc.org,0.967
97,cqc.org.uk,0.941
98,consensus.app,0.956
99,leap.app,0.978
100,aa.org,0.900
101,rvohealth.com,0.914
102,bcm.edu,0.959
103,sharecare.com,1.000
104,alzheimers.org.uk,0.951
105,draxe.com,0.980
106,yazio.com,0.891
107,healthplix.com,0.890
108,medicaldaily.com,1.000
109,ncoa.org,0.856
110,rxlist.com,0.999
111,gharsoaps.shop,0.907
112,evidation.com,0.900
113,greatist.com,0.997
114,ottai.com,0.970
115,terrayou.com,0.958
116,myprotein.com,0.991
117,cmaj.ca,0.990
118,flo.health,0.986
119,santepubliquefrance.fr,0.956
120,plasticsurgery.org,0.978
121,tevapharm.com,0.970
122,hollandandbarrett.com,0.962
123,rush.edu,0.964
124,nm.org,0.999
125,welltory.com,0.913
126,halaxy.com,0.982
127,vumc.org,0.965
128,mindful.org,0.866
129,appsdevlab.com,0.885
130,psypost.org,0.980
131,skincancer.org,0.996
132,adventhealth.com,0.977
133,nyulangone.org,0.963
134,betterme.world,0.910
135,cedars-sinai.org,0.996
136,yalemedicine.org,0.983
137,bostonmagazine.com,0.993
138,dotandkey.com,0.979
139,caremark.com,0.978
140,crisistextline.org,0.954
141,noom.com,0.989
142,klara.com,0.916
143,express-scripts.com,0.907
144,miteshkhatri.com,0.882
145,authenticpacks.com,0.851
146,pddrc.in,0.971
147,hotdoc.com.au,1.000
148,understood.org,0.980
149,beyondblue.org.au,0.912
150,mercy.net,0.883
151,nationalmssociety.org,0.928
152,allaboutvision.com,1.000
153,hse.ie,0.991
154,uhhospitals.org,0.997
155,uthscsa.edu,0.897
156,talkspace.com,1.000
157,healthpartners.com,0.909
158,beautylisher.com,0.966
159,additudemag.com,0.997
160,curative.com,0.941
161,diabetes.org.uk,0.980
162,hatchbaby.com,0.896
163,voxo.co,0.892
164,dermnetnz.org,1.000
165,familydoctor.org,0.999
166,mcw.edu,0.946
167,houstonmethodist.org,1.000
168,rchsd.org,0.995
169,mdedge.com,0.990
170,nasm.org,0.944
171,dermstore.com,0.989
172,broadinstitute.org,0.862
173,aaaai.org,0.975
174,connectiverx.com,0.881
175,massgeneralbrigham.org,0.940
176,ochsner.org,0.998
177,aacap.org,0.955
178,medshop24h.top,0.980
179,commonspirit.org,0.991
180,healthit.gov,0.928
181,simpledesign.ltd,0.993
182,stanfordhealthcare.org,0.990
183,medline.com,0.935
184,thebodyshop.com,0.990
185,simple.life,0.962
186,abishkking.com,0.994
187,zeelool.com,0.965
188,momjunction.com,0.964
189,autism.org.uk,0.874
190,gastromedix.shop,1.000
191,bostonscientific.com,1.000
192,marykay.com,0.952
193,brighamandwomens.org,1.000
194,atriumhealth.org,0.992
195,thorne.com,0.986
196,healthday.com,0.998
197,muscleandstrength.com,0.971
198,nyp.org,0.997
199,glassesusa.com,0.994
200,capella.edu,0.945
201,nationwidechildrens.org,1.000
202,tonal.com,0.934
203,theliven.com,0.983
204,uwhealth.org,0.968
205,antibact.sbs,1.000
206,pampers.com,0.990
207,aafa.org,1.000
208,hear.com,0.963
209,doxycare.shop,0.906
210,ucsfhealth.org,0.999
211,apta.org,0.939
212,helloalma.com,0.950
213,genengnews.com,0.973
214,octaneai.com,0.867
215,stanfordchildrens.org,0.999
216,cancer.net,0.995
217,uchicagomedicine.org,0.992
218,emedicinehealth.com,1.000
219,dignityhealth.org,0.991
220,sentara.com,0.996
221,netmums.com,0.989
222,examine.com,0.990
223,hss.edu,0.992
224,stroke.org,0.964
225,cronometer.com,0.915
226,oliveyoung.com,0.996
227,chemicalbook.com,0.942
228,furocare.online,1.000
229,sleepdoctor.com,0.963
230,lybrate.com,1.000
231,go-optic.com,0.972
232,aacr.org,0.941
233,nutritionfacts.org,0.990
234,sleepcycle.com,0.953
