rank,domain,health_score,initial_list_row
1,webmd.com,1.000,845
2,healthline.com,1.000,881
3,medicalnewstoday.com,1.000,2088
4,news-medical.net,1.000,5736
5,medrxiv.org,1.000,5975
6,invisalign.com,1.000,6993
7,apollopharmacy.in,1.000,8681
8,healthychildren.org,1.000,11117
9,hcn.health,1.000,12211
10,healthdirect.gov.au,1.000,14848
11,medpagetoday.com,1.000,14905
12,dovepress.com,1.000,15103
13,healio.com,1.000,15835
14,patient.info,1.000,18586
15,womenshealth.gov,1.000,19170
16,sharecare.com,1.000,21579
17,medicaldaily.com,1.000,22562
18,hotdoc.com.au,1.000,27420
19,allaboutvision.com,1.000,28346
20,talkspace.com,1.000,28901
21,dermnetnz.org,1.000,29855
22,houstonmethodist.org,1.000,30009
23,gastromedix.shop,1.000,33636
24,bostonscientific.com,1.000,33669
25,brighamandwomens.org,1.000,33894
26,nationwidechildrens.org,1.000,34355
27,antibact.sbs,1.000,34485
28,aafa.org,1.000,34543
29,emedicinehealth.com,1.000,35751
30,furocare.online,1.000,36953
31,lybrate.com,1.000,37321
32,dukehealth.org,1.000,38220
33,mentalhealth.com,1.000,38262
34,fluco.store,1.000,39315
35,propeciaa.sbs,1.000,40424
36,nccn.org,1.000,42256
37,emoryhealthcare.org,1.000,43249
38,fredhutch.org,1.000,43396
39,rnib.org.uk,1.000,44208
40,tremfya.com,1.000,46523
41,arthromedix.online,1.000,48883
42,levited.com,1.000,49237
43,healthyplace.com,1.000,49472
44,zolomeds.shop,1.000,49633
45,thehealthsite.com,1.000,49817
46,tadalah.com,1.000,50256
47,ahn.org,1.000,50645
48,psychiatrist.com,1.000,50852
49,onlymyhealth.com,1.000,52071
50,playastronaut.cc,1.000,52835
51,bmc.org,1.000,54940
52,doctor.com,1.000,55615
53,zithromax24h.sbs,1.000,55826
54,ivermactin.sbs,1.000,57065
55,mentalhelp.net,1.000,57136
56,cerave.com,1.000,58077
57,pristyncare.com,1.000,59292
58,sildenaguide.com,1.000,61003
59,medvi.org,1.000,61718
60,yashodahospitals.com,1.000,62660
61,amoxibest.top,1.000,62782
62,marham.pk,1.000,64188
63,aaoinfo.org,1.000,64804
64,netdoctor.co.uk,1.000,67022
65,healthshots.com,1.000,67940
66,hexahealth.com,1.000,70960
67,ippharmus.com,1.000,71336
68,mdlive.com,1.000,74770
69,myoresearch.com,1.000,77180
70,teachmeanatomy.info,1.000,77993
71,kansashealthsystem.com,1.000,78113
72,carehealthsource.com,1.000,78148
73,dvago.pk,1.000,79717
74,onedoc.ch,1.000,85426
75,celebrex365o24.com,1.000,85564
76,uspharmacist.com,1.000,85749
77,wellness.com,1.000,86220
78,talkiatry.com,1.000,87634
79,invisalign.in,1.000,89453
80,priceline.com.au,1.000,89703
81,luriechildrens.org,1.000,94757
82,keylevitraus.com,1.000,95209
83,meloxicam1x1.com,1.000,95468
84,healthywomen.org,1.000,96173
85,bsci.com,1.000,96779
86,myalcon.com,1.000,97939
87,bookimed.com,1.000,101048
88,psychplus.com,1.000,101224
89,authoritynutrition.com,1.000,101892
90,invisalign.net,1.000,101959
91,dentalhealth.org,1.000,103891
92,stormontvail.org,1.000,104304
93,functionhealth.com,1.000,105290
94,shrinerschildrens.org,1.000,105316
95,allergywest.com.au,1.000,107158
96,nghs.com,1.000,107920
97,bausch.in,1.000,108030
98,bausch.co.nz,1.000,108229
99,umiamihealth.org,1.000,109701
100,roswellpark.org,1.000,113242
101,whatclinic.com,1.000,119710
102,hellowisp.com,1.000,120237
103,nurx.com,1.000,123510
104,buoyhealth.com,1.000,124625
105,iampsychiatry.com,1.000,125470
106,medlineplus.gov,0.999,2634
107,upmc.com,0.999,14500
108,colgate.com,0.999,15868
109,mdanderson.org,0.999,16501
110,pharmeasy.in,0.999,16948
111,massgeneral.org,0.999,19982
112,rxlist.com,0.999,22748
113,nm.org,0.999,24024
114,familydoctor.org,0.999,29893
115,ucsfhealth.org,0.999,34894
116,stanfordchildrens.org,0.999,35352
117,thelondonneurocognitiveclinic.co.uk,0.999,39043
118,sharp.com,0.999,39909
