domain,name,is_tracker_ep,is_tracker_ocd,is_tracker,flagged_by,party_type,session,lifetime_days
pikabu_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
hurriyet_com_tr,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
rustore_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
usps_com,sp,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,False,0
hotjar_com,hj_visitor,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,True,0
hotjar_com,_ga,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,False,0
hotjar_com,_cs_c,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,False,0
hotjar_com,_cs_id,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,False,0
hotjar_com,_cs_s,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,False,0
amocrm_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
tbank_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
tinkoff_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
tinkoff_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
pla3_com,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
haberler_com,Gdyn,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,False,0
haberler_com,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
aucey_com,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
turbo_az,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
jino_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
media_net,_gid,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,False,0
media_net,_ga,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,False,0
sexvid_pro,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
imgsmail_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
blic_rs,Gdyn,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,False,0
like_video,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
gdz_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
consultant_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
sexvid_xxx,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
ok_ru,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
filmweb_pl,Gdyn,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,False,0
ak2yy_com,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
abc_net_au,DotMetrics.DeviceKey,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,False,0
abc_net_au,DotMetrics.UniqueUserIdentityCookie,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,False,0
thisvid_com,yabs-sid,True,True,True,"EasyPrivacy, OpenCookieDatabase",third_party,True,0
scorecardresearch_com,_ga,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,False,0
scorecardresearch_com,_gid,True,True,True,"EasyPrivacy, OpenCookieDatabase",first_party,False,0
