domain,name,is_tracker_ep,is_tracker_ocd,is_tracker,flagged_by,party_type,session,lifetime_days
pikabu_ru,uid,True,False,True,EasyPrivacy,third_party,False,0
pikabu_ru,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
pikabu_ru,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
pikabu_ru,sync_cookie_ok,True,False,True,EasyPrivacy,third_party,False,0
pikabu_ru,session_tptc,True,False,True,EasyPrivacy,third_party,False,0
pikabu_ru,user_id,True,False,True,EasyPrivacy,third_party,False,0
pikabu_ru,viuserid,True,False,True,EasyPrivacy,third_party,False,0
mailchi_mp,cg_uuid,True,False,True,EasyPrivacy,third_party,False,0
hurriyet_com_tr,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
hurriyet_com_tr,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
hurriyet_com_tr,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
hurriyet_com_tr,sync_cookie_csrf_secondary,True,False,True,EasyPrivacy,third_party,False,0
hurriyet_com_tr,sync_cookie_csrf_secondary,True,False,True,EasyPrivacy,third_party,False,0
hurriyet_com_tr,sync_cookie_csrf_secondary,True,False,True,EasyPrivacy,third_party,False,0
hurriyet_com_tr,sync_cookie_ok_secondary,True,False,True,EasyPrivacy,third_party,False,0
docker_com,demdex,True,False,True,EasyPrivacy,third_party,False,0
docker_com,dpm,True,False,True,EasyPrivacy,third_party,False,0
rustore_ru,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
rustore_ru,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
rustore_ru,sync_cookie_ok,True,False,True,EasyPrivacy,third_party,False,0
zhihu_com,HMACCOUNT_BFESS,True,False,True,EasyPrivacy,third_party,False,0
usps_com,X-AB,True,False,True,EasyPrivacy,third_party,False,0
usps_com,zync-uuid,True,False,True,EasyPrivacy,third_party,False,0
usps_com,UID,True,False,True,EasyPrivacy,third_party,False,0
usps_com,sd-session-id,True,False,True,EasyPrivacy,third_party,False,0
usps_com,demdex,True,False,True,EasyPrivacy,third_party,False,0
usps_com,dpm,True,False,True,EasyPrivacy,third_party,False,0
index_hr,uid,True,False,True,EasyPrivacy,third_party,False,0
otto_de,visitorId,True,False,True,EasyPrivacy,first_party,False,0
otto_de,BrowserId,True,False,True,EasyPrivacy,first_party,False,0
otto_de,devSpecs,True,False,True,EasyPrivacy,first_party,False,0
otto_de,KP_UIDz-ssn,True,False,True,EasyPrivacy,first_party,False,0
otto_de,KP_UIDz,True,False,True,EasyPrivacy,first_party,False,0
otto_de,OptanonConsent,True,False,True,EasyPrivacy,first_party,False,0
loc_gov,demdex,True,False,True,EasyPrivacy,third_party,False,0
loc_gov,dpm,True,False,True,EasyPrivacy,third_party,False,0
netlify_app,__cf_bm,True,False,True,EasyPrivacy,third_party,False,0
netlify_app,__cf_bm,True,False,True,EasyPrivacy,third_party,False,0
eepurl_com,cg_uuid,True,False,True,EasyPrivacy,third_party,False,0
hotjar_com,NEXT_LOCALE,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_ga_BY4EGTPHRR,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,OptanonConsent,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_gcl_au,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_rdt_uuid,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_iidt,True,False,True,EasyPrivacy,third_party,False,0
hotjar_com,_vid_t,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_twpid,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_hp5_meta.236035469,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_fbp,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_hp5_event_props.236035469,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_hp5_let.236035469,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_dd_s,True,False,True,EasyPrivacy,first_party,False,0
hotjar_com,_rdt_pn,True,False,True,EasyPrivacy,first_party,False,0
amocrm_ru,visitor_uid,True,False,True,EasyPrivacy,first_party,False,0
klaviyo_com,tt,True,False,True,EasyPrivacy,third_party,False,0
tbank_ru,suuid3,True,False,True,EasyPrivacy,third_party,False,0
tbank_ru,rap_uid,True,False,True,EasyPrivacy,third_party,False,0
tbank_ru,_TADUID,True,False,True,EasyPrivacy,third_party,False,0
tbank_ru,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
tbank_ru,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
tbank_ru,sync_cookie_ok,True,False,True,EasyPrivacy,third_party,False,0
tbank_ru,rxt_pxids_0,True,False,True,EasyPrivacy,third_party,False,0
grok_com,m,True,False,True,EasyPrivacy,third_party,False,0
tinkoff_ru,suuid3,True,False,True,EasyPrivacy,third_party,False,0
tinkoff_ru,rap_uid,True,False,True,EasyPrivacy,third_party,False,0
tinkoff_ru,_TADUID,True,False,True,EasyPrivacy,third_party,False,0
tinkoff_ru,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
tinkoff_ru,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
tinkoff_ru,sync_cookie_ok,True,False,True,EasyPrivacy,third_party,False,0
tinkoff_ru,rxt_pxids_0,True,False,True,EasyPrivacy,third_party,False,0
xing_com,X-AB,True,False,True,EasyPrivacy,third_party,False,0
xing_com,xing_csrf_token,True,False,True,EasyPrivacy,first_party,True,0
xing_com,xing_csrf_checksum,True,False,True,EasyPrivacy,first_party,True,0
xing_com,visitor_id,True,False,True,EasyPrivacy,first_party,False,0
xing_com,userConsent,True,False,True,EasyPrivacy,first_party,False,0
xing_com,nwtPrevPage,True,False,True,EasyPrivacy,first_party,False,0
xing_com,stm.fbexid,True,False,True,EasyPrivacy,first_party,False,0
xing_com,_pinterest_ct_ua,True,False,True,EasyPrivacy,third_party,False,0
xing_com,_scid,True,False,True,EasyPrivacy,first_party,False,0
xing_com,_scid_r,True,False,True,EasyPrivacy,first_party,False,0
xing_com,c_,True,False,True,EasyPrivacy,first_party,False,0
npr_org,m,True,False,True,EasyPrivacy,third_party,False,0
fortune_com,gckp,True,False,True,EasyPrivacy,third_party,False,0
eenadu_net,IMRID,True,False,True,EasyPrivacy,third_party,False,0
pla3_com,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
pla3_com,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
pla3_com,sync_cookie_csrf_secondary,True,False,True,EasyPrivacy,third_party,False,0
pla3_com,sync_cookie_csrf_secondary,True,False,True,EasyPrivacy,third_party,False,0
pla3_com,sync_cookie_ok_secondary,True,False,True,EasyPrivacy,third_party,False,0
amplitude_com,AMP_MKTG_e3e918f274,True,False,True,EasyPrivacy,first_party,False,0
amplitude_com,AMP_MKTG_8f241b95e3,True,False,True,EasyPrivacy,first_party,False,0
amplitude_com,AMP_MKTG_c64663a7bf,True,False,True,EasyPrivacy,first_party,False,0
amplitude_com,AMP_8f241b95e3,True,False,True,EasyPrivacy,first_party,False,0
amplitude_com,AMP_e3e918f274,True,False,True,EasyPrivacy,first_party,False,0
amplitude_com,AMP_c64663a7bf,True,False,True,EasyPrivacy,first_party,False,0
jimdo_com,AnalyseUnique,True,False,True,EasyPrivacy,third_party,False,0
jimdo_com,_pinterest_ct_ua,True,False,True,EasyPrivacy,third_party,False,0
segment_io,demdex,True,False,True,EasyPrivacy,third_party,False,0
segment_io,dpm,True,False,True,EasyPrivacy,third_party,False,0
segment_io,cg_uuid,True,False,True,EasyPrivacy,third_party,False,0
sinoptik_ua,uid,True,False,True,EasyPrivacy,third_party,False,0
sinoptik_ua,uid,True,False,True,EasyPrivacy,third_party,False,0
sinoptik_ua,c,True,False,True,EasyPrivacy,third_party,False,0
sinoptik_ua,tuuid_lu,True,False,True,EasyPrivacy,third_party,False,0
sinoptik_ua,tuuid,True,False,True,EasyPrivacy,third_party,False,0
sinoptik_ua,custom_data,True,False,True,EasyPrivacy,third_party,False,0
sinoptik_ua,uids,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,apuid,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,receive-cookie-deprecation,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,Gtest,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,Gdynp,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,sync_cookie_csrf_secondary,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,sync_cookie_csrf_secondary,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,sync_cookie_ok_secondary,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,uid,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,uid,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,equativ,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,iqm.retarget.uid,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,uuid,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,tuuid,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,tuuid_lu,True,False,True,EasyPrivacy,third_party,False,0
haberler_com,uid,True,False,True,EasyPrivacy,third_party,False,0
gamewith_jp,receive-cookie-deprecation,True,False,True,EasyPrivacy,third_party,False,0
mailchimp_com,cg_uuid,True,False,True,EasyPrivacy,third_party,False,0
gazzetta_it,demdex,True,False,True,EasyPrivacy,third_party,False,0
gazzetta_it,IMRID,True,False,True,EasyPrivacy,third_party,False,0
gazzetta_it,dpm,True,False,True,EasyPrivacy,third_party,False,0
aucey_com,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
aucey_com,sync_cookie_csrf,True,False,True,EasyPrivacy,third_party,False,0
